path,resolution,series,sys_id,pos_id,img_id,format,date
4000/fallow-flow_10_pos1047_seed1136.png,4000,fallow-flow,10,pos1047,seed1136,png,2021-10-05
800/fallow-flow_10_pos1047_seed1136.png,800,fallow-flow,10,pos1047,seed1136,png,2021-10-05
4000/fallow-flow_10_pos1048_seed1189.png,4000,fallow-flow,10,pos1048,seed1189,png,2021-10-05
800/fallow-flow_10_pos1048_seed1189.png,800,fallow-flow,10,pos1048,seed1189,png,2021-10-05
4000/fallow-flow_10_pos1049_seed1108.png,4000,fallow-flow,10,pos1049,seed1108,png,2021-10-05
800/fallow-flow_10_pos1049_seed1108.png,800,fallow-flow,10,pos1049,seed1108,png,2021-10-05
4000/fallow-flow_10_pos1050_seed1175.png,4000,fallow-flow,10,pos1050,seed1175,png,2021-10-05
800/fallow-flow_10_pos1050_seed1175.png,800,fallow-flow,10,pos1050,seed1175,png,2021-10-05
4000/fallow-flow_10_pos1051_seed1015.png,4000,fallow-flow,10,pos1051,seed1015,png,2021-10-05
800/fallow-flow_10_pos1051_seed1015.png,800,fallow-flow,10,pos1051,seed1015,png,2021-10-05
4000/fallow-flow_10_pos1052_seed1027.png,4000,fallow-flow,10,pos1052,seed1027,png,2021-10-05
800/fallow-flow_10_pos1052_seed1027.png,800,fallow-flow,10,pos1052,seed1027,png,2021-10-05
4000/fallow-flow_10_pos1053_seed1130.png,4000,fallow-flow,10,pos1053,seed1130,png,2021-10-05
800/fallow-flow_10_pos1053_seed1130.png,800,fallow-flow,10,pos1053,seed1130,png,2021-10-05
4000/fallow-flow_10_pos1054_seed1085.png,4000,fallow-flow,10,pos1054,seed1085,png,2021-10-05
800/fallow-flow_10_pos1054_seed1085.png,800,fallow-flow,10,pos1054,seed1085,png,2021-10-05
4000/fallow-flow_10_pos1055_seed1080.png,4000,fallow-flow,10,pos1055,seed1080,png,2021-10-05
800/fallow-flow_10_pos1055_seed1080.png,800,fallow-flow,10,pos1055,seed1080,png,2021-10-05
4000/fallow-flow_10_pos1056_seed1112.png,4000,fallow-flow,10,pos1056,seed1112,png,2021-10-05
800/fallow-flow_10_pos1056_seed1112.png,800,fallow-flow,10,pos1056,seed1112,png,2021-10-05
